City,Country,Cloud,Date,Humid,Lat,Lng,Max_temp,Temp,Wind
Cherdyn',RU,94,1648093198,89,60.403,56.4787,20.26,20.26,2.39
Port Elizabeth,ZA,0,1648093198,86,-33.918,25.5701,69.31,68.81,18.41
Tuktoyaktuk,CA,20,1648093198,76,69.4541,-133.0374,-14.8,-14.8,17.27
Egvekinot,RU,15,1648093198,82,66.3167,-179.1667,13.5,13.5,1.41
Katsuura,JP,72,1648093076,64,35.1333,140.3,54.1,54.1,5.17
Cape Town,ZA,40,1648092979,86,-33.9258,18.4232,66.61,65.73,14.97
Bubaque,GW,9,1648093199,73,11.2833,-15.8333,74.19,74.19,9.78
Rikitea,PF,100,1648093200,71,-23.1203,-134.9692,79.61,79.61,12.55
Norrtälje,SE,13,1648093200,74,59.758,18.705,37.02,36.93,6.53
Barrow,US,0,1648093200,71,71.2906,-156.7887,-5.78,-5.78,14.97
Yellowknife,CA,20,1648093201,80,62.456,-114.3525,5.56,5.09,5.75
Yangi Marg`ilon,UZ,100,1648093201,81,40.4272,71.7189,41.72,41.72,4.61
Busselton,AU,0,1648093201,35,-33.65,115.3333,77.02,77.02,9.13
Castro,BR,94,1648093201,92,-24.7911,-50.0119,63.36,63.36,4.5
Tasiilaq,GL,100,1648093202,68,65.6145,-37.6368,8.76,8.76,7.11
Avarua,CK,100,1648093202,78,-21.2078,-159.775,82.45,82.45,10.36
Airai,TL,98,1648093203,73,-8.9266,125.4092,70.2,70.2,1.79
Balakhninskiy,RU,90,1648093203,79,58.0106,114.2769,21.42,21.42,2.62
Narsaq,GL,71,1648093203,78,60.9167,-46.05,23.22,23.22,7.34
Vaini,TO,100,1648093204,94,-21.2,-175.2,75.36,75.36,4.61
Evensk,RU,100,1648093204,92,61.95,159.2333,23.41,23.41,9.33
Oodweyne,SO,37,1648093204,58,9.4092,45.064,74.26,74.26,5.88
Qaanaaq,GL,99,1648093204,78,77.484,-69.3632,-13.67,-13.67,7.67
Malpe,IN,70,1648093205,72,13.35,74.7167,78.1,78.1,5.23
Punta Arenas,CL,0,1648093205,49,-53.15,-70.9167,46.51,46.51,17.27
Kungurtug,RU,72,1648093205,63,50.5994,97.5228,16.63,16.63,0.87
Atuona,PF,99,1648093206,77,-9.8,-139.0333,79.36,79.36,15.95
Saskylakh,RU,94,1648093206,95,71.9167,114.0833,-1.48,-1.48,4.38
Bambous Virieux,MU,40,1648093207,83,-20.3428,57.7575,82.22,79.05,5.75
Cloquet,US,100,1648093207,92,46.7216,-92.4594,32.68,32.18,6.91
Punuare,HN,71,1648093208,67,14.7333,-85.9667,73.11,73.11,8.12
Hobart,AU,75,1648093139,52,-42.8794,147.3294,68.05,67.15,14.97
Vanimo,PG,100,1648093209,69,-2.6741,141.3028,85.08,85.08,6.24
Norman Wells,CA,20,1648093209,65,65.282,-126.8329,-0.36,-0.36,5.75
La Roche-sur-Yon,FR,0,1648093209,70,46.6667,-1.4333,37.67,37.67,6.91
Vila Franca do Campo,PT,19,1648093210,70,37.7167,-25.4333,58.19,58.19,1.41
Puerto Ayora,EC,52,1648093210,80,-0.7393,-90.3518,78.44,78.44,6.42
Maridi,SS,39,1648093210,80,4.9158,29.4742,67.5,67.5,4.27
Albany,US,100,1648093063,82,42.6001,-73.9662,39.61,36.73,3.0
Dikson,RU,100,1648093211,89,73.5069,80.5464,8.01,8.01,12.24
Esperance,AU,59,1648093211,57,-33.8667,121.9,71.44,71.44,10.04
Blăgeşti,RO,0,1648093212,60,46.6833,26.65,42.42,30.34,4.34
Ginir,ET,36,1648093212,72,7.1333,40.7,60.87,60.87,4.63
Port Alfred,ZA,100,1648093212,89,-33.5906,26.891,71.37,71.37,12.91
Zhigansk,RU,100,1648093213,91,66.7697,123.3711,17.82,17.82,7.74
Gwembe,ZM,10,1648093218,94,-16.4975,27.6069,59.67,59.67,2.73
Marovoay,MG,72,1648093218,90,-16.1,46.6333,76.91,76.91,1.7
Lufilufi,WS,76,1648093219,71,-13.8745,-171.5986,82.18,81.79,4.72
Beira,MZ,0,1648093219,100,-19.8436,34.8389,71.69,71.69,4.61
Jamestown,US,100,1648093219,70,42.097,-79.2353,48.02,46.85,10.36
Shibetsu,JP,75,1648093220,65,43.659,145.132,38.1,38.1,1.14
Waipawa,NZ,100,1648093220,98,-41.4122,175.5153,58.82,58.82,4.72
Örnsköldsvik,SE,20,1648093220,70,63.2909,18.7153,45.55,45.55,16.11
Bluff,NZ,58,1648093221,58,-46.6,168.3333,58.66,58.66,15.35
Mataura,NZ,15,1648093221,54,-46.1927,168.8643,60.57,60.57,8.52
Birštonas,LT,16,1648093221,87,54.6167,24.0333,30.33,30.33,6.51
Sarangani,PH,95,1648093222,70,5.4033,125.4636,81.99,81.99,3.53
Itarema,BR,100,1648093222,90,-2.9248,-39.9167,75.38,75.38,6.26
Ushuaia,AR,75,1648093222,53,-54.8,-68.3,46.06,46.06,13.8
Umluj,SA,0,1648093222,46,25.0213,37.2685,61.43,61.43,13.8
Vardø,NO,98,1648093223,59,70.3705,31.1107,26.74,26.74,22.79
Laem Sing,TH,99,1648093223,93,12.4816,102.0738,90.41,86.83,6.08
São Filipe,CV,2,1648093224,73,14.8961,-24.4956,69.24,69.24,11.01
Nurma,RU,15,1648093224,96,59.55,31.0167,22.46,22.46,4.34
Porto Santo,PT,40,1648093224,72,33.072,-16.3415,57.58,57.58,21.85
Goderich,CA,100,1648093225,87,43.7501,-81.7165,38.91,37.72,23.02
Sinnamary,GF,99,1648093225,90,5.3833,-52.95,77.31,77.31,12.53
Ribeira Brava,PT,15,1648093225,73,32.65,-17.0667,62.06,57.6,9.62
Dudinka,RU,98,1648093226,93,69.4058,86.1778,11.62,11.62,13.27
Okhotsk,RU,80,1648093226,79,59.3833,143.3,20.17,20.17,5.01
Anju,KP,47,1648093226,53,39.6178,125.6647,54.82,54.82,5.44
Kuusamo,FI,100,1648093227,93,65.9667,29.1833,35.64,35.64,12.66
Bara,NG,99,1648093227,19,10.3744,10.7288,76.14,76.14,7.07
Hermanus,ZA,88,1648093227,86,-34.4187,19.2345,64.8,64.8,9.42
Guadalupe y Calvo,MX,0,1648093228,33,26.1,-106.9667,41.07,41.07,6.08
Saint Paul Harbor,US,0,1648093228,69,57.79,-152.4072,33.31,33.31,5.75
Udomlya,RU,46,1648093229,100,57.8794,34.9925,26.24,26.24,2.28
Sikasso,ML,52,1648093230,36,10.9167,-7.0,86.0,86.0,4.23
Kinablangan,PH,100,1648093230,76,7.6947,126.5503,82.2,82.2,7.78
Pisco,PE,0,1648093230,77,-13.7,-76.2167,68.02,66.25,13.8
Houma,US,0,1648093230,68,29.5958,-90.7195,55.99,54.19,0.0
Beloha,MG,0,1648093231,68,-25.1667,45.05,73.58,73.58,7.18
Tiksi,RU,97,1648093231,92,71.6872,128.8694,-2.69,-2.69,3.31
Port Augusta,AU,0,1648093232,34,-32.5,137.7667,77.5,77.5,12.91
Constitución,CL,0,1648093233,49,-35.3333,-72.4167,56.32,56.32,15.9
Sioux Lookout,CA,20,1648093233,100,50.1001,-91.917,30.27,30.27,4.61
Gejiu,CN,97,1648093233,94,23.306,103.1635,53.55,53.55,5.79
Anadyr,RU,0,1648093233,85,64.75,177.4833,10.9,10.9,4.47
Severo-Kuril'sk,RU,78,1648093234,73,50.6789,156.125,32.4,32.4,10.45
Cap Malheureux,MU,38,1648093234,79,-19.9842,57.6142,82.47,82.47,3.0
Caravelas,BR,46,1648093234,92,-17.7125,-39.2481,72.84,72.84,3.27
Auki,SB,97,1648093240,83,-8.7676,160.7034,81.1,81.1,1.9
Noumea,NC,99,1648092978,99,-22.2763,166.4572,84.0,84.0,12.86
Faanui,PF,100,1648093240,73,-16.4833,-151.75,80.69,80.69,8.12
Santa Rosa,PH,85,1648093241,59,14.3122,121.1114,91.38,90.64,11.92
Kitob,UZ,96,1648093241,80,39.0843,66.8332,42.46,42.46,3.89
College,US,40,1648093242,52,64.8569,-147.8028,19.35,16.41,12.66
Libertad,PH,100,1648092978,61,8.9442,125.5019,86.32,86.32,2.19
Bredasdorp,ZA,97,1648093110,83,-34.5322,20.0403,67.17,67.17,7.54
Babynino,RU,100,1648093243,91,54.39,35.73,22.75,22.75,6.78
The Valley,AI,20,1648093243,78,18.217,-63.0578,77.83,77.09,12.66
Strezhevoy,RU,98,1648093244,93,60.7333,77.5889,19.26,19.26,3.18
Hithadhoo,MV,0,1648093244,66,-0.6,73.0833,83.84,83.84,18.3
Celle,DE,0,1648093244,80,52.6226,10.0805,43.65,37.67,1.14
São Félix do Xingu,BR,99,1648093244,98,-6.6447,-51.995,72.0,72.0,1.12
Hilo,US,100,1648093245,96,19.7297,-155.09,73.13,72.18,8.99
Mahébourg,MU,40,1648093245,83,-20.4081,57.7,82.26,79.09,5.75
Shamary,RU,100,1648093245,96,57.3434,58.2199,29.75,29.75,7.27
Ketchikan,US,75,1648093246,87,55.3422,-131.6461,41.47,41.47,10.36
Lüderitz,NA,5,1648093246,80,-26.6481,15.1594,63.07,63.07,9.8
Sola,VU,75,1648093247,74,-13.8833,167.55,86.67,86.67,5.75
Thompson,CA,75,1648093247,80,55.7435,-97.8558,35.76,35.76,11.5
Alofi,NU,70,1648093248,77,-19.0595,-169.9187,81.05,81.05,8.97
Ximeicun,CN,100,1648093249,74,24.9639,118.3794,59.86,59.86,2.89
Chardara,KZ,100,1648093250,96,41.2547,67.9692,38.88,38.88,8.21
Kahului,US,75,1648093251,78,20.8947,-156.47,73.42,73.42,21.85
Salinópolis,BR,100,1648093252,92,-0.6136,-47.3561,76.91,76.91,11.45
Barcelos,PT,70,1648093253,73,41.5388,-8.6151,55.54,54.3,6.62
Hong Kong,HK,100,1648093046,89,22.2855,114.1577,67.32,67.17,10.0
Bilibino,RU,100,1648093253,86,68.0546,166.4372,21.04,21.04,1.52
Mehamn,NO,75,1648093253,50,71.0357,27.8492,26.55,26.55,16.11
Cayenne,GF,75,1648093254,1,4.9333,-52.3333,80.1,80.1,9.22
Inhambane,MZ,6,1648093254,92,-23.865,35.3833,71.11,71.11,4.79
Durango,MX,0,1648093106,29,24.8333,-104.8333,46.36,46.36,5.26
Grindavik,IS,100,1648093255,100,63.8424,-22.4338,44.55,43.27,20.71
Krutinka,RU,100,1648093255,98,56.0055,71.5113,31.5,31.5,10.33
Seredeyskiy,RU,100,1648093255,94,54.0507,35.2318,31.46,31.46,6.24
Chokurdakh,RU,99,1648093256,90,70.6333,147.9167,3.54,3.54,0.27
Muhoroni,KE,40,1648093256,79,-0.1541,35.1988,62.51,62.51,3.87
Zliten,LY,44,1648093256,61,32.4674,14.5687,52.57,52.57,2.48
Pontian Kecil,MY,14,1648093256,62,1.4801,103.3899,92.28,87.42,2.77
Lorengau,PG,99,1648093257,68,-2.0226,147.2712,85.28,85.28,5.93
Touros,BR,80,1648093257,80,-5.1989,-35.4608,79.14,79.14,8.16
Coracora,PE,99,1648093257,82,-15.0333,-73.7833,52.09,52.09,1.3
Necochea,AR,100,1648093258,94,-38.5473,-58.7368,65.16,65.16,12.48
Mar del Plata,AR,100,1648093218,96,-38.0023,-57.5575,69.1,68.56,13.8
Maragogi,BR,99,1648093263,81,-9.0122,-35.2225,78.46,78.46,8.28
Butaritari,KI,23,1648093264,77,3.0707,172.7902,80.98,80.98,12.28
Saint-Louis,SN,0,1648093265,24,16.3333,-15.0,74.84,74.84,12.3
Paramonga,PE,100,1648093265,85,-10.6667,-77.8333,69.91,69.91,7.16
Cidreira,BR,100,1648093265,90,-30.1811,-50.2056,69.73,69.73,11.72
Rio Claro,BR,96,1648093265,72,-22.4114,-47.5614,70.03,70.03,5.61
Bandarbeyla,SO,36,1648093266,78,9.4942,50.8122,76.5,76.5,1.9
New Norfolk,AU,84,1648093139,50,-42.7826,147.0587,67.71,63.21,4.0
Batetskiy,RU,7,1648093266,96,58.6461,30.3027,25.7,25.7,3.71
Yumen,CN,89,1648093267,28,40.2833,97.2,41.0,41.0,20.13
Kavaratti,IN,68,1648093267,68,10.5669,72.642,83.28,83.28,6.24
Chontalpa,MX,100,1648093267,94,17.7,-93.5167,69.71,69.71,4.54
Provideniya,RU,0,1648093268,63,64.3833,-173.3,21.31,21.31,2.24
Manhattan,US,100,1648093268,76,40.7834,-73.9662,42.42,39.7,14.97
Saint George,US,0,1648093268,15,37.1041,-113.5841,65.62,64.02,3.44
Nanortalik,GL,49,1648093268,85,60.1432,-45.2371,19.9,19.9,5.21
Upernavik,GL,46,1648093269,88,72.7868,-56.1549,-15.18,-15.18,5.46
Inírida,CO,31,1648093269,85,3.8653,-67.9239,75.43,75.43,0.96
Thinadhoo,MV,1,1648093269,65,0.5333,72.9333,83.73,83.73,16.87
Mujiayingzi,CN,100,1648093270,39,42.1167,118.7833,54.46,54.46,15.79
Kajaani,FI,0,1648093270,87,64.2273,27.7285,37.45,37.45,13.8
Östersund,SE,100,1648093271,75,63.1792,14.6357,43.25,43.25,6.91
Cherskiy,RU,100,1648093271,92,68.75,161.3,18.39,18.39,6.22
Lebu,CL,2,1648093272,74,-37.6167,-73.65,51.31,51.31,13.65
Torbay,CA,100,1648093272,87,47.6666,-52.7314,30.27,29.39,18.41
Cervo,ES,7,1648093272,89,43.6702,-7.4101,50.88,50.88,2.24
Manado,ID,20,1648093120,66,1.487,124.8455,88.57,88.57,4.61
Kapaa,US,75,1648093273,78,22.0752,-159.319,82.38,75.83,21.85
Carnarvon,AU,40,1648093102,66,-24.8667,113.6333,86.07,86.07,6.91
Bathsheba,BB,40,1648093273,78,13.2167,-59.5167,77.61,77.61,20.71
Ahipara,NZ,16,1648093273,75,-35.1667,173.1667,70.02,70.02,17.54
Skjervøy,NO,100,1648093274,66,70.0311,20.9714,30.2,30.2,11.21
Banda Aceh,ID,93,1648093076,69,5.5577,95.3222,84.7,84.7,3.58
Bundoran,IE,92,1648093274,91,54.4778,-8.2809,50.86,50.86,2.84
Grand Gaube,MU,43,1648093275,79,-20.0064,57.6608,82.38,82.38,3.0
Dumas,US,0,1648093275,48,35.8656,-101.9732,35.74,35.74,9.22
Nortelândia,BR,53,1648093275,96,-14.4547,-56.8028,73.13,73.13,3.36
Grumăzeşti,RO,1,1648093275,100,47.1333,26.3667,41.72,41.72,5.75
Cockburn Town,TC,40,1648093276,73,21.4612,-71.1419,76.96,76.96,17.27
Forio,IT,0,1648093276,61,40.7342,13.8646,53.46,50.63,5.88
Ossora,RU,30,1648093276,77,59.2353,163.0719,23.94,23.94,4.05
Terrace,CA,75,1648093277,87,54.5163,-128.6035,39.11,39.11,13.8
Sur,OM,0,1648093277,33,22.5667,59.5289,84.11,84.11,3.02
Noshiro,JP,66,1648093189,55,40.2039,140.0242,45.43,45.43,6.26
Enugu,NG,100,1648093203,79,6.4402,7.4943,78.17,78.17,5.41
Dingle,PH,37,1648093278,53,10.9995,122.6711,89.87,89.87,13.04
Alta Floresta,BR,94,1648093283,97,-9.8756,-56.0861,72.25,72.25,2.39
Garango,BF,4,1648093284,10,11.8,-0.5506,83.26,83.26,2.84
Agua Dulce,MX,100,1648093284,80,18.1333,-94.1333,72.36,72.36,10.63
Leeton,AU,95,1648093284,31,-34.5667,146.4,77.9,77.14,5.75
La Ronge,CA,0,1648093284,52,55.1001,-105.2842,43.05,43.05,9.22
Alugan,PH,54,1648093285,76,12.2188,125.4808,82.92,82.92,9.22
Ondjiva,AO,100,1648093285,93,-17.0667,15.7333,65.23,65.23,2.26
Hanmer Springs,NZ,100,1648093285,70,-42.5167,172.8167,68.99,68.99,5.14
Stephenville,US,40,1648093286,44,32.2207,-98.2023,51.17,48.15,1.99
Tuatapere,NZ,65,1648093286,57,-46.1333,167.6833,60.19,60.19,10.2
George Town,MY,20,1648093036,78,5.4112,100.3354,87.73,84.18,5.01
Sena Madureira,BR,100,1648093287,98,-9.0656,-68.6569,73.98,73.98,2.15
Mutoko,ZW,8,1648093287,97,-17.397,32.2268,57.72,57.72,2.35
Dobryatino,RU,93,1648093287,91,55.5055,41.3195,29.64,29.64,5.95
Xiuyan,CN,17,1648093287,48,40.2928,123.2744,55.33,55.33,11.63
Apollonia,GR,0,1648093288,57,36.9716,24.7231,44.19,44.19,38.27
Luang Prabang,LA,75,1648093288,83,19.8856,102.1347,78.76,78.76,2.3
Cornelius,US,75,1648093288,80,35.4868,-80.8601,69.67,68.68,13.8
Kangaatsiaq,GL,39,1648093289,98,68.3065,-53.4641,-12.57,-12.57,8.77
Uspenka,UA,0,1648093290,60,48.3903,39.1619,34.29,34.29,4.54
Lompoc,US,100,1648093291,93,34.6391,-120.4579,64.54,53.62,6.91
Tautira,PF,84,1648093291,72,-17.7333,-149.15,80.6,80.6,9.15
Acapulco de Juárez,MX,0,1648093291,88,16.8634,-99.8901,75.02,75.02,6.91
Arrondissement de Montbrison,FR,4,1648093292,67,45.6667,4.0833,39.09,34.14,2.19
Lang Son,VN,100,1648093292,92,21.8333,106.7333,62.85,62.85,2.68
Khatanga,RU,100,1648093292,93,71.9667,102.5,6.87,6.87,5.46
Nivala,FI,42,1648093292,89,63.9167,24.9667,40.68,40.68,11.9
Padang,ID,71,1648093293,55,-0.9492,100.3543,86.05,86.05,3.94
Poum,NC,81,1648093293,76,-20.2333,164.0167,80.33,80.33,5.5
Yuancheng,CN,100,1648093294,49,36.652,107.7896,58.1,58.1,11.68
Ponta do Sol,PT,23,1648093294,71,32.6667,-17.1,62.06,57.79,10.45
Aklavik,CA,100,1648093294,95,68.2191,-135.0107,-11.72,-11.72,11.63
Parabel',RU,100,1648093295,90,58.6978,81.4825,21.7,21.7,3.69
Xinzhou,CN,99,1648093295,37,38.4092,112.7333,56.17,56.17,2.89
Honiara,SB,76,1648093079,79,-9.4333,159.95,82.63,82.63,2.17
La Asuncion,VE,6,1648093295,83,11.0333,-63.8628,78.53,78.53,17.27
Podgorodnyaya Pokrovka,RU,100,1648093296,97,51.8281,54.9874,19.53,19.53,8.57
Te Anau,NZ,7,1648093296,43,-45.4167,167.7167,62.47,62.47,3.13
Havøysund,NO,100,1648093296,52,70.9963,24.6622,28.63,28.63,9.24
Vancouver,CA,20,1648093135,81,49.2497,-123.1193,47.73,46.38,18.99
Miraflores,MX,7,1648093297,23,19.2167,-98.8083,67.03,66.87,4.74
Solano,US,0,1648093297,66,38.2333,-121.9511,66.38,60.31,13.8
Great Falls,US,0,1648093297,36,47.5002,-111.3008,59.67,57.67,11.5
Lavrentiya,RU,2,1648093298,82,65.5833,-171.0,5.0,5.0,5.53
Holme,DK,3,1648093298,89,56.1138,10.1725,34.95,34.2,5.28
Saint-Joseph,RE,45,1648093298,81,-21.3667,55.6167,79.18,79.18,7.87
Bitung,ID,100,1648093299,82,1.4451,125.1824,88.65,88.65,4.23
Araouane,ML,4,1648093304,8,18.9048,-3.5265,71.87,71.87,8.41
Bukachacha,RU,96,1648093304,62,52.9833,116.9167,31.35,31.35,3.62
Semīrom,IR,11,1648093304,41,31.4167,51.5667,45.59,45.59,7.49
Medicine Hat,CA,75,1648093305,51,50.0501,-110.6683,58.19,56.52,12.66
Lubao,PH,67,1648093305,46,14.9167,120.55,91.47,91.47,8.99
Akhisar,TR,25,1648093305,84,38.9185,27.8401,34.21,34.21,7.9
Atar,MR,0,1648093305,26,20.5169,-13.0499,66.25,66.25,10.4
Saint-Philippe,RE,52,1648093306,80,-21.3585,55.7679,80.19,80.19,9.01
Zyryanka,RU,100,1648093306,81,65.75,150.85,11.01,11.01,5.3
Perth,AU,0,1648093102,38,-31.9333,115.8333,80.02,78.6,13.8
Santa Maria,BR,75,1648093307,94,-29.6842,-53.8069,69.1,69.1,2.3
Denpasar,ID,20,1648093307,79,-8.65,115.2167,85.71,85.71,6.91
Yahotyn,UA,14,1648093307,74,50.2798,31.7625,39.96,39.96,7.47
Rājur,IN,60,1648093307,30,20.1167,78.9167,94.82,94.82,7.81
Savinka,RU,92,1648093308,99,50.0785,47.0994,23.76,23.76,4.76
Hauterive,FR,0,1648093308,66,46.0901,3.4459,38.16,38.16,2.98
Ribeira Grande,PT,88,1648093308,78,38.5167,-28.7,59.2,59.2,17.0
Talnakh,RU,88,1648093308,81,69.4865,88.3972,11.21,11.21,9.64
Sept-Îles,CA,0,1648093309,33,50.2001,-66.3821,27.12,27.12,6.91
Hofn,IS,100,1648093309,94,64.2539,-15.2082,38.17,38.17,9.69
Fortuna,US,0,1648093310,91,40.5982,-124.1573,50.34,49.68,8.05
Broken Hill,AU,3,1648093289,33,-31.95,141.4333,71.31,71.31,11.5
Lithakia,GR,0,1648093310,65,37.7167,20.8333,36.77,36.77,7.94
Klæbu,NO,100,1648093310,70,63.2976,10.4826,46.35,44.49,6.93
Marsá Maţrūḩ,EG,75,1648093311,87,31.3525,27.2453,46.6,46.6,11.5
Luau,AO,94,1648093311,95,-10.7073,22.2247,60.73,60.73,1.21
Cowra,AU,93,1648093155,59,-33.8333,148.6833,73.04,73.04,8.52
Black Forest,US,0,1648093312,39,39.0131,-104.7008,38.34,33.84,14.97
Wuwei,CN,100,1648093312,39,37.9281,102.6414,46.04,46.04,9.6
Xifeng,CN,87,1648093312,32,42.7372,124.7222,49.53,49.53,9.17
Gambissara,SN,2,1648093313,43,13.2382,-14.3108,73.87,73.87,5.44
Villa Unión,MX,0,1648093313,68,23.2,-106.2333,66.9,64.36,0.0
Morro Bay,US,26,1648093313,90,35.3658,-120.8499,65.71,53.98,0.4
Bani Walid,LY,11,1648093313,78,31.7566,13.9942,46.53,46.53,3.51
Ilulissat,GL,0,1648093314,50,69.2167,-51.1,-2.18,-2.18,2.3
Izhma,RU,100,1648093314,94,65.0083,53.9113,19.4,19.4,4.0
Pingzhuang,CN,100,1648093315,44,42.0372,119.2889,53.46,53.46,22.62
Naze,JP,99,1648093081,60,28.3667,129.4833,67.12,67.12,12.41
Chui,UY,100,1648093315,90,-33.6971,-53.4616,69.8,69.8,8.86
Bantogon,PH,83,1648093316,74,6.5333,124.0333,82.06,82.06,3.67
Dąbrowa Tarnowska,PL,0,1648093316,69,50.1746,20.9863,41.45,41.45,5.19
Warrington,GB,5,1648093316,78,53.3925,-2.5802,49.95,44.06,4.61
Bambanglipuro,ID,99,1648093317,65,-7.95,110.2833,87.08,87.08,2.35
Paragominas,BR,100,1648093317,99,-2.9667,-47.4833,72.12,72.12,4.47
Karlskrona,SE,0,1648093318,76,56.1616,15.5866,27.05,27.05,6.22
Leshukonskoye,RU,100,1648093318,94,64.8989,45.7622,30.2,30.2,10.76
Kudahuvadhoo,MV,13,1648093323,65,2.6708,72.8944,83.17,83.17,15.05
Humboldt,US,9,1648093323,95,40.6665,-123.9178,41.54,40.91,1.92
Berlevåg,NO,100,1648093324,60,70.8578,29.0864,26.6,24.6,17.9
Bukama,CD,90,1648093324,97,-9.2,25.85,66.36,66.36,2.33
Jumla,NP,0,1648093324,23,29.2747,82.1838,59.14,59.14,5.12
Ariquemes,BR,100,1648093324,98,-9.9133,-63.0408,73.74,73.74,2.53
Vao,NC,72,1648093325,64,-22.6667,167.4833,77.4,77.4,13.27
Vostok,RU,36,1648093325,64,46.4856,135.8833,35.24,35.24,3.51
Kaitangata,NZ,6,1648093325,54,-46.2817,169.8464,62.69,62.69,11.72
Isangel,VU,100,1648093325,89,-19.55,169.2667,82.51,82.51,4.61
Chunoyar,RU,100,1648093326,86,57.4467,97.3217,24.89,24.89,10.56
Yarensk,RU,100,1648093326,93,62.1675,49.0916,32.86,32.86,9.98
Pangnirtung,CA,100,1648093326,75,66.1451,-65.7125,14.16,14.16,6.38
Iqaluit,CA,100,1648093327,66,63.7506,-68.5145,15.53,14.7,21.85
Kavieng,PG,100,1648093327,72,-2.5744,150.7967,84.29,84.29,8.61
Yar-Sale,RU,91,1648093327,95,66.8333,70.8333,9.59,9.59,1.66
Abu Dhabi,AE,0,1648093055,58,24.4667,54.3667,73.96,71.94,3.44
